Date (Denmark),Price,Open,High,Low,Change %
2020-10-16,-0.509,-0.495,-0.493,-0.522,3.46%
2020-10-15,-0.492,-0.477,-0.463,-0.524,5.24%
2020-10-14,-0.468,-0.448,-0.447,-0.479,3.54%
2020-10-13,-0.451,-0.433,-0.426,-0.454,2.96%
2020-10-12,-0.438,-0.428,-0.417,-0.440,2.57%
2020-10-09,-0.428,-0.419,-0.415,-0.440,1.66%
2020-10-08,-0.421,-0.391,-0.386,-0.421,8.66%
2020-10-07,-0.387,-0.412,-0.375,-0.424,-7.64%
2020-10-06,-0.419,-0.400,-0.389,-0.427,5.14%
2020-10-05,-0.398,-0.419,-0.398,-0.443,-8.18%
2020-10-02,-0.434,-0.435,-0.420,-0.486,1.88%
2020-10-01,-0.426,-0.403,-0.391,-0.482,2.16%
2020-09-30,-0.417,-0.433,-0.407,-0.444,-5.01%
2020-09-29,-0.439,-0.423,-0.419,-0.492,3.54%
2020-09-28,-0.424,-0.426,-0.401,-0.486,-0.93%
2020-09-25,-0.428,-0.398,-0.396,-0.433,4.39%
2020-09-24,-0.410,-0.412,-0.403,-0.433,-0.73%
2020-09-23,-0.413,-0.412,-0.396,-0.475,0.49%
2020-09-22,-0.411,-0.424,-0.401,-0.438,-2.61%
2020-09-21,-0.422,-0.394,-0.384,-0.444,7.65%
2020-09-18,-0.392,-0.384,-0.350,-0.417,1.16%
2020-09-17,-0.387,-0.384,-0.363,-0.413,1.57%
2020-09-16,-0.382,-0.377,-0.332,-0.401,3.81%
2020-09-15,-0.368,-0.373,-0.354,-0.381,-0.81%
2020-09-14,-0.370,-0.374,-0.363,-0.393,0.54%
2020-09-11,-0.368,-0.347,-0.315,-0.372,5.29%
2020-09-10,-0.350,-0.347,-0.309,-0.368,1.16%
2020-09-09,-0.346,-0.395,-0.339,-0.399,-9.54%
2020-09-08,-0.382,-0.359,-0.345,-0.398,10.55%
2020-09-07,-0.346,-0.352,-0.330,-0.371,-0.14%
2020-09-04,-0.347,-0.374,-0.342,-0.384,-7.23%
2020-09-03,-0.373,-0.363,-0.343,-0.392,4.04%
2020-09-02,-0.359,-0.324,-0.319,-0.366,8.95%
2020-09-01,-0.329,-0.296,-0.269,-0.334,13.43%
2020-08-31,-0.290,-0.312,-0.243,-0.317,-3.33%
2020-08-28,-0.301,-0.271,-0.266,-0.319,4.52%
2020-08-27,-0.287,-0.320,-0.280,-0.361,-7.26%
2020-08-26,-0.310,-0.310,-0.285,-0.319,-4.47%
2020-08-25,-0.324,-0.368,-0.303,-0.375,-13.47%
2020-08-24,-0.375,-0.394,-0.362,-0.396,-4.34%
2020-08-21,-0.392,-0.370,-0.367,-0.405,4.26%
2020-08-20,-0.376,-0.368,-0.347,-0.393,6.21%
2020-08-19,-0.354,-0.354,-0.347,-0.377,1.43%
2020-08-18,-0.349,-0.333,-0.319,-0.355,5.44%
2020-08-17,-0.331,-0.306,-0.298,-0.341,10.15%
2020-08-14,-0.301,-0.285,-0.282,-0.313,5.25%
2020-08-13,-0.285,-0.354,-0.283,-0.364,-17.96%
2020-08-12,-0.348,-0.366,-0.320,-0.367,-7.45%
2020-08-11,-0.376,-0.393,-0.353,-0.405,-4.57%
2020-08-10,-0.394,-0.374,-0.363,-0.414,4.10%
2020-08-07,-0.379,-0.399,-0.377,-0.413,-1.56%
2020-08-06,-0.384,-0.373,-0.356,-0.413,5.34%
2020-08-05,-0.365,-0.418,-0.361,-0.419,-13.61%
2020-08-04,-0.423,-0.383,-0.370,-0.423,9.31%
2020-08-03,-0.387,-0.384,-0.359,-0.400,-1.65%
2020-07-31,-0.393,-0.431,-0.382,-0.431,-4.73%
2020-07-30,-0.412,-0.370,-0.370,-0.419,11.19%
2020-07-29,-0.371,-0.387,-0.359,-0.396,-4.87%
2020-07-28,-0.390,-0.356,-0.355,-0.395,8.94%
2020-07-27,-0.358,-0.329,-0.320,-0.376,7.51%
2020-07-24,-0.333,-0.376,-0.319,-0.385,-9.51%
2020-07-23,-0.368,-0.377,-0.359,-0.382,-0.54%
2020-07-22,-0.370,-0.348,-0.340,-0.385,5.41%
2020-07-21,-0.351,-0.339,-0.334,-0.357,1.30%
2020-07-20,-0.347,-0.336,-0.312,-0.363,1.91%
2020-07-17,-0.340,-0.358,-0.334,-0.372,-2.86%
2020-07-16,-0.350,-0.335,-0.326,-0.373,6.71%
2020-07-15,-0.328,-0.325,-0.315,-0.353,0.61%
2020-07-14,-0.326,-0.325,-0.288,-0.335,0.93%
2020-07-13,-0.323,-0.348,-0.286,-0.353,-5.69%
2020-07-10,-0.343,-0.365,-0.343,-0.382,-3.93%
2020-07-09,-0.356,-0.329,-0.322,-0.362,8.69%
2020-07-08,-0.328,-0.324,-0.310,-0.347,-0.91%
2020-07-07,-0.331,-0.325,-0.299,-0.338,3.76%
2020-07-06,-0.319,-0.299,-0.291,-0.325,2.24%
2020-07-03,-0.312,-0.314,-0.299,-0.331,2.63%
2020-07-02,-0.304,-0.263,-0.255,-0.316,16.48%
2020-07-01,-0.261,-0.312,-0.256,-0.318,-18.05%
2020-06-30,-0.319,-0.339,-0.316,-0.367,-5.07%
2020-06-29,-0.336,-0.348,-0.322,-0.349,-3.87%
2020-06-26,-0.349,-0.333,-0.329,-0.355,6.08%
2020-06-25,-0.329,-0.313,-0.308,-0.348,4.78%
2020-06-24,-0.314,-0.277,-0.257,-0.316,10.56%
2020-06-23,-0.284,-0.306,-0.276,-0.308,-6.58%
2020-06-22,-0.304,-0.288,-0.280,-0.331,7.04%
2020-06-19,-0.284,-0.283,-0.261,-0.292,1.07%
2020-06-18,-0.281,-0.268,-0.252,-0.291,11.51%
2020-06-17,-0.252,-0.261,-0.218,-0.284,-1.37%
2020-06-16,-0.255,-0.244,-0.233,-0.319,-2.67%
2020-06-15,-0.262,-0.308,-0.257,-0.320,-6.08%
2020-06-12,-0.280,-0.257,-0.252,-0.350,2.57%
2020-06-11,-0.273,-0.228,-0.193,-0.304,32.60%
2020-06-10,-0.206,-0.165,-0.148,-0.207,30.89%
2020-06-09,-0.157,-0.184,-0.151,-0.224,-5.14%
2020-06-08,-0.166,-0.131,-0.119,-0.227,16.96%
2020-06-05,-0.141,-0.147,-0.116,-0.167,-11.01%
2020-06-04,-0.159,-0.184,-0.147,-0.219,-15.43%
2020-06-03,-0.188,-0.228,-0.178,-0.251,-22.79%
2020-06-02,-0.243,-0.247,-0.230,-0.269,-1.22%
2020-06-01,-0.247,-0.275,-0.231,-0.277,-12.12%
2020-05-29,-0.280,-0.269,-0.251,-0.296,8.93%
2020-05-28,-0.257,-0.230,-0.221,-0.274,11.71%
2020-05-27,-0.230,-0.247,-0.203,-0.273,-8.17%
2020-05-26,-0.251,-0.290,-0.230,-0.294,-17.70%
2020-05-25,-0.305,-0.298,-0.260,-0.317,3.74%
2020-05-23,-0.294,-0.294,-0.294,-0.294,-1.67%
2020-05-22,-0.299,-0.311,-0.288,-0.325,1.53%
2020-05-21,-0.294,-0.286,-0.262,-0.310,5.56%
2020-05-20,-0.279,-0.255,-0.238,-0.289,6.49%
2020-05-19,-0.262,-0.267,-0.219,-0.306,2.14%
2020-05-18,-0.257,-0.324,-0.252,-0.343,-19.97%
2020-05-15,-0.320,-0.321,-0.294,-0.354,2.07%
2020-05-14,-0.314,-0.322,-0.288,-0.340,3.97%
2020-05-13,-0.302,-0.299,-0.285,-0.330,0.00%
2020-05-12,-0.302,-0.285,-0.252,-0.315,6.15%
2020-05-11,-0.285,-0.300,-0.278,-0.334,-9.39%
2020-05-08,-0.314,-0.322,-0.307,-0.354,-6.96%
2020-05-07,-0.338,-0.283,-0.245,-0.341,15.58%
2020-05-06,-0.292,-0.328,-0.281,-0.341,-14.99%
2020-05-05,-0.343,-0.315,-0.282,-0.359,5.05%
2020-05-04,-0.327,-0.369,-0.294,-0.372,-0.91%
2020-05-01,-0.330,-0.327,-0.327,-0.330,-3.37%
2020-04-30,-0.342,-0.261,-0.255,-0.370,31.85%
2020-04-29,-0.259,-0.239,-0.223,-0.273,13.10%
2020-04-28,-0.229,-0.211,-0.187,-0.248,10.10%
2020-04-27,-0.208,-0.193,-0.193,-0.249,-9.17%
2020-04-24,-0.229,-0.230,-0.200,-0.240,15.08%
2020-04-23,-0.199,-0.160,-0.112,-0.202,42.14%
2020-04-22,-0.140,-0.234,-0.136,-0.241,-29.29%
2020-04-21,-0.198,-0.230,-0.187,-0.270,-6.16%
2020-04-20,-0.211,-0.226,-0.173,-0.254,-3.65%
2020-04-17,-0.219,-0.214,-0.204,-0.247,-0.90%
2020-04-16,-0.221,-0.214,-0.177,-0.245,5.24%
2020-04-15,-0.210,-0.154,-0.154,-0.236,42.37%
2020-04-14,-0.147,-0.087,-0.087,-0.176,22.92%
2020-04-13,-0.120,-0.120,-0.120,-0.120,0.00%
2020-04-10,-0.120,-0.120,-0.120,-0.120,1.69%
2020-04-09,-0.118,-0.120,-0.118,-0.120,-2.48%
2020-04-08,-0.121,-0.103,-0.056,-0.154,9.01%
2020-04-07,-0.111,-0.153,-0.083,-0.159,-40.48%
2020-04-06,-0.186,-0.168,-0.148,-0.197,-6.28%
2020-04-03,-0.199,-0.200,-0.186,-0.219,1.27%
2020-04-02,-0.197,-0.197,-0.161,-0.235,-19.47%
2020-04-01,-0.244,-0.243,-0.213,-0.275,11.16%
2020-03-31,-0.220,-0.266,-0.216,-0.268,-23.12%
2020-03-30,-0.285,-0.252,-0.214,-0.314,43.47%
2020-03-27,-0.199,-0.160,-0.140,-0.222,63.11%
2020-03-26,-0.122,-0.073,-0.054,-0.139,110.34%
2020-03-25,-0.058,-0.099,-0.038,-0.124,-41.71%
2020-03-24,-0.100,-0.165,-0.090,-0.167,-43.14%
2020-03-23,-0.175,-0.150,-0.142,-0.206,19.86%
2020-03-20,-0.146,-0.139,-0.057,-0.149,128.12%
2020-03-19,-0.064,-0.211,-0.018,-0.251,-48.80%
2020-03-18,-0.125,-0.308,-0.105,-0.308,-63.56%
2020-03-17,-0.343,-0.384,-0.283,-0.396,-17.35%
2020-03-16,-0.415,-0.535,-0.400,-0.537,-21.70%
2020-03-13,-0.530,-0.634,-0.503,-0.637,-22.97%
2020-03-12,-0.688,-0.751,-0.660,-0.767,-4.38%
2020-03-11,-0.720,-0.756,-0.697,-0.783,-7.22%
2020-03-10,-0.775,-0.720,-0.669,-0.791,-3.00%
2020-03-09,-0.799,-0.765,-0.765,-0.875,14.95%
2020-03-06,-0.696,-0.691,-0.674,-0.735,5.30%
2020-03-05,-0.660,-0.592,-0.586,-0.661,7.49%
2020-03-04,-0.614,-0.624,-0.581,-0.625,1.40%
2020-03-03,-0.606,-0.587,-0.547,-0.607,-1.46%
2020-03-02,-0.615,-0.602,-0.558,-0.647,4.33%
2020-02-28,-0.590,-0.560,-0.549,-0.608,9.78%
2020-02-27,-0.537,-0.500,-0.488,-0.553,11.76%
2020-02-26,-0.481,-0.493,-0.452,-0.512,-3.80%
2020-02-25,-0.500,-0.454,-0.451,-0.503,7.30%
2020-02-24,-0.465,-0.450,-0.435,-0.489,7.88%
2020-02-21,-0.431,-0.439,-0.421,-0.454,2.62%
2020-02-20,-0.421,-0.398,-0.393,-0.435,6.59%
2020-02-19,-0.394,-0.375,-0.369,-0.406,-2.35%
2020-02-18,-0.404,-0.387,-0.369,-0.417,4.39%
2020-02-17,-0.387,-0.385,-0.362,-0.393,0.52%
2020-02-14,-0.385,-0.376,-0.364,-0.394,2.39%
2020-02-13,-0.376,-0.370,-0.359,-0.405,1.76%
2020-02-12,-0.370,-0.373,-0.340,-0.375,-0.81%
2020-02-11,-0.373,-0.401,-0.366,-0.401,-6.17%
2020-02-10,-0.397,-0.366,-0.363,-0.398,6.58%
2020-02-07,-0.373,-0.356,-0.354,-0.389,5.67%
2020-02-06,-0.352,-0.347,-0.331,-0.361,1.73%
2020-02-05,-0.347,-0.397,-0.344,-0.414,-12.28%
2020-02-04,-0.395,-0.434,-0.383,-0.434,-10.33%
2020-02-03,-0.440,-0.429,-0.410,-0.442,-0.90%
2020-01-31,-0.444,-0.405,-0.390,-0.447,13.54%
2020-01-30,-0.391,-0.357,-0.357,-0.412,4.82%
2020-01-29,-0.373,-0.335,-0.335,-0.376,11.33%
2020-01-28,-0.336,-0.377,-0.331,-0.397,-11.01%
2020-01-27,-0.377,-0.324,-0.320,-0.382,14.94%
2020-01-24,-0.328,-0.299,-0.276,-0.334,11.38%
2020-01-23,-0.294,-0.259,-0.259,-0.305,13.71%
2020-01-22,-0.259,-0.254,-0.240,-0.271,3.81%
2020-01-21,-0.250,-0.231,-0.213,-0.261,12.64%
2020-01-20,-0.221,-0.226,-0.215,-0.236,-1.56%
2020-01-17,-0.225,-0.227,-0.212,-0.236,-2.17%
2020-01-16,-0.230,-0.209,-0.207,-0.236,3.14%
2020-01-15,-0.223,-0.175,-0.175,-0.234,16.15%
2020-01-14,-0.192,-0.174,-0.162,-0.197,6.08%
2020-01-13,-0.181,-0.207,-0.168,-0.218,-16.40%
2020-01-10,-0.216,-0.199,-0.181,-0.218,2.12%
2020-01-09,-0.212,-0.218,-0.189,-0.222,-1.40%
2020-01-08,-0.215,-0.268,-0.204,-0.289,-16.02%
2020-01-07,-0.256,-0.282,-0.252,-0.282,-6.23%
2020-01-06,-0.273,-0.269,-0.266,-0.298,-1.80%
2020-01-03,-0.278,-0.199,-0.199,-0.284,37.62%
2020-01-02,-0.202,-0.167,-0.140,-0.221,30.32%
2019-12-31,-0.155,-0.155,-0.155,-0.155,-14.36%
2019-12-30,-0.181,-0.215,-0.147,-0.221,-17.16%
2019-12-27,-0.219,-0.206,-0.206,-0.228,3.31%
2019-12-26,-0.212,-0.212,-0.212,-0.212,0.00%
2019-12-25,-0.212,-0.212,-0.212,-0.212,0.00%
2019-12-24,-0.212,-0.205,-0.205,-0.212,1.68%
2019-12-23,-0.208,-0.202,-0.200,-0.248,-3.92%
2019-12-20,-0.217,-0.198,-0.183,-0.221,7.69%
2019-12-19,-0.201,-0.206,-0.171,-0.221,-4.50%
2019-12-18,-0.211,-0.248,-0.197,-0.266,-16.10%
2019-12-17,-0.252,-0.255,-0.236,-0.272,3.93%
2019-12-16,-0.242,-0.280,-0.235,-0.294,-9.19%
2019-12-13,-0.266,-0.246,-0.183,-0.280,17.40%
2019-12-12,-0.227,-0.287,-0.222,-0.310,-23.18%
2019-12-11,-0.296,-0.265,-0.264,-0.332,11.09%
2019-12-10,-0.266,-0.270,-0.252,-0.285,-4.14%
2019-12-09,-0.278,-0.255,-0.255,-0.293,5.51%
2019-12-06,-0.263,-0.273,-0.248,-0.288,-3.13%
2019-12-05,-0.271,-0.293,-0.250,-0.313,-9.65%
2019-12-04,-0.301,-0.325,-0.294,-0.351,-9.35%
2019-12-03,-0.331,-0.261,-0.241,-0.337,25.09%
2019-12-02,-0.265,-0.336,-0.252,-0.336,-22.97%
2019-11-29,-0.344,-0.331,-0.322,-0.358,0.29%
2019-11-28,-0.343,-0.343,-0.333,-0.365,1.03%
2019-11-27,-0.340,-0.349,-0.327,-0.356,-0.59%
2019-11-26,-0.342,-0.310,-0.310,-0.353,6.06%
2019-11-25,-0.322,-0.324,-0.310,-0.337,-4.02%
2019-11-22,-0.336,-0.287,-0.275,-0.338,12.40%
2019-11-21,-0.299,-0.317,-0.287,-0.337,-10.23%
2019-11-20,-0.333,-0.305,-0.305,-0.360,5.39%
2019-11-19,-0.315,-0.298,-0.294,-0.318,2.77%
2019-11-18,-0.307,-0.303,-0.287,-0.324,0.00%
2019-11-15,-0.308,-0.315,-0.287,-0.324,-3.61%
2019-11-14,-0.319,-0.274,-0.274,-0.327,14.54%
2019-11-13,-0.278,-0.240,-0.229,-0.289,17.26%
2019-11-12,-0.237,-0.224,-0.206,-0.243,2.15%
2019-11-11,-0.233,-0.230,-0.223,-0.256,-3.73%
2019-11-08,-0.242,-0.219,-0.199,-0.254,5.23%
2019-11-07,-0.229,-0.317,-0.217,-0.321,-24.88%
2019-11-06,-0.306,-0.286,-0.271,-0.311,6.82%
2019-11-05,-0.286,-0.329,-0.280,-0.329,-13.73%
2019-11-04,-0.331,-0.359,-0.319,-0.359,-7.53%
2019-11-01,-0.359,-0.381,-0.352,-0.393,-6.64%
2019-10-31,-0.384,-0.326,-0.326,-0.396,12.12%
2019-10-30,-0.343,-0.326,-0.306,-0.347,7.54%
2019-10-29,-0.319,-0.313,-0.301,-0.340,4.77%
2019-10-28,-0.304,-0.314,-0.292,-0.347,-12.14%
2019-10-25,-0.346,-0.363,-0.331,-0.367,0.58%
2019-10-24,-0.344,-0.358,-0.319,-0.380,-2.82%
2019-10-23,-0.354,-0.356,-0.341,-0.375,5.04%
2019-10-22,-0.337,-0.321,-0.304,-0.353,4.33%
2019-10-21,-0.323,-0.351,-0.306,-0.354,-10.77%
2019-10-18,-0.362,-0.373,-0.344,-0.382,-3.47%
2019-10-17,-0.375,-0.380,-0.307,-0.390,2.74%
2019-10-16,-0.365,-0.389,-0.355,-0.425,-9.88%
2019-10-15,-0.405,-0.439,-0.384,-0.458,-8.99%
2019-10-14,-0.445,-0.456,-0.428,-0.469,6.71%
2019-10-11,-0.417,-0.455,-0.409,-0.485,-9.94%
2019-10-10,-0.463,-0.524,-0.451,-0.529,-13.13%
2019-10-09,-0.533,-0.565,-0.531,-0.567,-6.82%
2019-10-08,-0.572,-0.527,-0.508,-0.575,4.00%
2019-10-07,-0.550,-0.564,-0.547,-0.578,-2.31%
2019-10-04,-0.563,-0.563,-0.550,-0.578,1.08%
2019-10-03,-0.557,-0.547,-0.528,-0.580,9.65%
2019-10-02,-0.508,-0.507,-0.494,-0.534,-5.22%
2019-10-01,-0.536,-0.521,-0.476,-0.542,-2.55%
2019-09-30,-0.550,-0.539,-0.512,-0.558,0.18%
2019-09-27,-0.549,-0.554,-0.534,-0.571,-0.90%
2019-09-26,-0.554,-0.554,-0.533,-0.568,-1.42%
2019-09-25,-0.562,-0.584,-0.545,-0.598,-0.88%
2019-09-24,-0.567,-0.544,-0.522,-0.576,3.47%
2019-09-23,-0.548,-0.491,-0.467,-0.564,14.88%
2019-09-20,-0.477,-0.488,-0.467,-0.491,0.63%
2019-09-19,-0.474,-0.457,-0.439,-0.484,-1.04%
2019-09-18,-0.479,-0.460,-0.448,-0.486,4.59%
2019-09-17,-0.458,-0.474,-0.443,-0.488,-3.38%
2019-09-16,-0.474,-0.438,-0.423,-0.481,12.86%
2019-09-13,-0.420,-0.474,-0.420,-0.493,-17.65%
2019-09-12,-0.510,-0.534,-0.506,-0.629,-3.77%
2019-09-11,-0.530,-0.506,-0.500,-0.548,-0.93%
2019-09-10,-0.535,-0.547,-0.513,-0.569,-0.56%
2019-09-09,-0.538,-0.617,-0.536,-0.618,-10.78%
2019-09-06,-0.603,-0.558,-0.535,-0.616,5.79%
2019-09-05,-0.570,-0.628,-0.534,-0.652,-10.80%
2019-09-04,-0.639,-0.650,-0.612,-0.666,-7.93%
2019-09-03,-0.694,-0.654,-0.654,-0.709,5.79%
2019-09-02,-0.656,-0.670,-0.632,-0.670,-2.53%
2019-08-30,-0.673,-0.666,-0.634,-0.684,1.66%
2019-08-29,-0.662,-0.679,-0.637,-0.685,-2.93%
2019-08-28,-0.682,-0.667,-0.649,-0.694,3.33%
2019-08-27,-0.660,-0.648,-0.619,-0.661,2.96%
2019-08-26,-0.641,-0.651,-0.613,-0.656,0.16%
2019-08-23,-0.640,-0.604,-0.577,-0.651,4.75%
2019-08-22,-0.611,-0.648,-0.588,-0.663,-4.83%
2019-08-21,-0.642,-0.646,-0.617,-0.658,-2.58%
2019-08-20,-0.659,-0.634,-0.626,-0.683,5.78%
2019-08-19,-0.623,-0.663,-0.605,-0.680,-7.15%
2019-08-16,-0.671,-0.656,-0.626,-0.715,1.98%
2019-08-15,-0.658,-0.616,-0.596,-0.665,8.76%
2019-08-14,-0.605,-0.576,-0.560,-0.609,8.81%
2019-08-13,-0.556,-0.548,-0.533,-0.574,4.51%
2019-08-12,-0.532,-0.534,-0.521,-0.551,0.38%
2019-08-09,-0.530,-0.527,-0.511,-0.554,4.74%
2019-08-08,-0.506,-0.516,-0.477,-0.537,-6.99%
2019-08-07,-0.544,-0.505,-0.488,-0.569,11.02%
2019-08-06,-0.490,-0.479,-0.467,-0.503,3.81%
2019-08-05,-0.472,-0.467,-0.451,-0.482,10.28%
2019-08-02,-0.428,-0.411,-0.410,-0.455,9.18%
2019-08-01,-0.392,-0.363,-0.340,-0.400,3.98%
2019-07-31,-0.377,-0.347,-0.326,-0.377,9.91%
2019-07-30,-0.343,-0.338,-0.318,-0.348,1.48%
2019-07-29,-0.338,-0.324,-0.317,-0.345,7.64%
2019-07-26,-0.314,-0.320,-0.298,-0.337,-0.32%
2019-07-25,-0.315,-0.327,-0.274,-0.377,-4.83%
2019-07-24,-0.331,-0.298,-0.284,-0.340,7.82%
2019-07-23,-0.307,-0.293,-0.283,-0.311,2.33%
2019-07-22,-0.300,-0.274,-0.262,-0.300,7.14%
2019-07-19,-0.280,-0.284,-0.263,-0.292,3.32%
2019-07-18,-0.271,-0.262,-0.250,-0.289,15.32%
2019-07-17,-0.235,-0.238,-0.218,-0.257,9.30%
2019-07-16,-0.215,-0.206,-0.196,-0.242,-2.27%
2019-07-15,-0.220,-0.185,-0.169,-0.226,19.57%
2019-07-12,-0.184,-0.181,-0.155,-0.199,-4.17%
2019-07-11,-0.192,-0.236,-0.167,-0.241,-17.60%
2019-07-10,-0.233,-0.244,-0.190,-0.252,-14.65%
2019-07-09,-0.273,-0.284,-0.248,-0.288,-6.19%
2019-07-08,-0.291,-0.306,-0.272,-0.308,4.30%
2019-07-05,-0.279,-0.315,-0.249,-0.321,-7.31%
2019-07-04,-0.301,-0.306,-0.296,-0.329,0.00%
2019-07-03,-0.301,-0.314,-0.287,-0.319,9.85%
2019-07-02,-0.274,-0.284,-0.256,-0.293,-3.86%
2019-07-01,-0.285,-0.244,-0.232,-0.287,11.76%
2019-06-28,-0.255,-0.252,-0.236,-0.262,4.94%
2019-06-27,-0.243,-0.221,-0.204,-0.257,4.74%
2019-06-26,-0.232,-0.260,-0.228,-0.263,-12.45%
2019-06-25,-0.265,-0.243,-0.230,-0.269,12.29%
2019-06-24,-0.236,-0.230,-0.221,-0.248,6.31%
2019-06-21,-0.222,-0.252,-0.208,-0.253,-15.27%
2019-06-20,-0.262,-0.260,-0.231,-0.266,11.97%
2019-06-19,-0.234,-0.267,-0.217,-0.276,-11.70%
2019-06-18,-0.265,-0.207,-0.193,-0.288,42.47%
2019-06-17,-0.186,-0.219,-0.181,-0.223,-16.96%
2019-06-14,-0.224,-0.217,-0.203,-0.237,8.21%
2019-06-13,-0.207,-0.195,-0.185,-0.214,8.38%
2019-06-12,-0.191,-0.184,-0.164,-0.199,7.30%
2019-06-11,-0.178,-0.168,-0.159,-0.196,-2.20%
2019-06-10,-0.182,-0.191,-0.182,-0.193,-9.45%
2019-06-07,-0.201,-0.167,-0.149,-0.210,27.22%
2019-06-06,-0.158,-0.145,-0.117,-0.181,8.97%
2019-06-05,-0.145,-0.144,-0.118,-0.154,3.57%
2019-06-04,-0.140,-0.122,-0.109,-0.150,28.44%
2019-06-03,-0.109,-0.105,-0.086,-0.130,12.37%
2019-05-31,-0.097,-0.100,-0.066,-0.104,12.79%
2019-05-30,-0.086,-0.064,-0.061,-0.089,10.26%
2019-05-29,-0.078,-0.066,-0.053,-0.085,65.96%
2019-05-28,-0.047,-0.048,-0.035,-0.068,-2.08%
2019-05-27,-0.048,-0.023,-0.010,-0.054,128.57%
2019-05-24,-0.021,-0.022,-0.003,-0.028,75.00%
2019-05-23,-0.012,0.011,0.011,-0.026,-200.00%
2019-05-22,0.012,0.024,0.033,0.005,-55.56%
2019-05-21,0.027,0.010,0.041,-0.002,575.00%
2019-05-20,0.004,-0.006,0.029,-0.011,-136.36%
2019-05-17,-0.011,-0.015,0.023,-0.016,"1,000.00%"
2019-05-16,-0.001,-0.007,0.017,-0.017,-114.29%
2019-05-15,0.007,0.030,0.042,-0.027,-77.42%
2019-05-14,0.031,0.035,0.059,0.022,-11.43%
2019-05-13,0.035,0.056,0.070,0.030,-44.44%
2019-05-10,0.063,0.048,0.080,0.042,36.96%
2019-05-09,0.046,0.046,0.068,0.026,-4.17%
2019-05-08,0.048,0.072,0.080,0.031,-12.73%
2019-05-07,0.055,0.108,0.128,0.052,-45.54%
2019-05-06,0.101,0.090,0.121,0.085,-21.71%
2019-05-03,0.129,0.126,0.152,0.100,7.50%
2019-05-02,0.120,0.117,0.140,0.095,30.43%
2019-05-01,0.092,0.106,0.120,0.092,-14.02%
2019-04-30,0.107,0.088,0.151,0.086,17.58%
2019-04-29,0.091,0.085,0.117,0.083,8.33%
2019-04-26,0.084,0.083,0.101,0.068,2.44%
2019-04-25,0.082,0.078,0.101,0.072,-4.65%
2019-04-24,0.086,0.111,0.133,0.071,-39.01%
2019-04-23,0.141,0.124,0.153,0.115,30.56%
2019-04-22,0.108,0.108,0.108,0.108,0.00%
2019-04-19,0.108,0.108,0.108,0.108,-32.50%
2019-04-18,0.160,0.174,0.174,0.156,-10.61%
2019-04-17,0.179,0.167,0.201,0.158,9.15%
2019-04-16,0.164,0.150,0.170,0.124,10.81%
2019-04-15,0.148,0.142,0.180,0.133,4.23%
2019-04-12,0.142,0.067,0.153,0.057,115.15%
2019-04-11,0.066,0.057,0.082,0.051,37.50%
2019-04-10,0.048,0.072,0.083,0.043,-37.66%
2019-04-09,0.077,0.091,0.101,0.066,-13.48%
2019-04-08,0.089,0.088,0.097,0.076,-4.30%
2019-04-05,0.093,0.090,0.111,0.079,24.00%
2019-04-04,0.075,0.079,0.093,0.062,2.74%
2019-04-03,0.073,0.059,0.093,0.052,305.56%
2019-04-02,0.018,0.046,0.054,0.015,-60.87%
2019-04-01,0.046,0.020,0.059,0.019,253.85%
2019-03-29,0.013,0.008,0.034,-0.005,-13.33%
2019-03-28,0.015,-0.016,0.026,-0.024,-193.75%
2019-03-27,-0.016,0.023,0.041,-0.026,-127.12%
2019-03-26,0.059,0.064,0.079,0.042,-9.23%
2019-03-25,0.065,0.080,0.096,0.058,8.33%
2019-03-22,0.060,0.137,0.152,0.051,-56.52%
2019-03-21,0.138,0.168,0.168,0.122,-18.34%
2019-03-20,0.169,0.190,0.203,0.164,-10.58%
2019-03-19,0.189,0.167,0.219,0.164,11.18%
2019-03-18,0.170,0.180,0.201,0.164,-7.10%
2019-03-15,0.183,0.181,0.203,0.157,0.00%
2019-03-14,0.183,0.168,0.192,0.160,8.28%
2019-03-13,0.169,0.150,0.176,0.150,2.42%
2019-03-12,0.165,0.178,0.208,0.151,5.10%
2019-03-11,0.157,0.162,0.182,0.152,-7.65%
2019-03-08,0.170,0.163,0.184,0.150,-2.86%
2019-03-07,0.175,0.226,0.249,0.167,-24.24%
2019-03-06,0.231,0.245,0.273,0.226,-16.00%
2019-03-05,0.275,0.277,0.302,0.263,3.77%
2019-03-04,0.265,0.287,0.298,0.259,-11.67%
2019-03-01,0.300,0.293,0.315,0.278,1.01%
2019-02-28,0.297,0.251,0.306,0.246,11.24%
2019-02-27,0.267,0.224,0.283,0.213,11.25%
2019-02-26,0.240,0.205,0.246,0.204,9.59%
2019-02-25,0.219,0.231,0.242,0.206,2.34%
2019-02-22,0.214,0.239,0.239,0.206,-14.40%
2019-02-21,0.250,0.230,0.266,0.218,11.61%
2019-02-20,0.224,0.233,0.245,0.213,-3.86%
2019-02-19,0.233,0.237,0.252,0.209,-1.27%
2019-02-18,0.236,0.239,0.252,0.221,-0.84%
2019-02-15,0.238,0.239,0.250,0.216,1.28%
2019-02-14,0.235,0.257,0.267,0.210,-11.65%
2019-02-13,0.266,0.278,0.281,0.250,-2.56%
2019-02-12,0.273,0.268,0.285,0.247,8.33%
