Date (Austria),Price,Open,High,Low,Change %
2021-10-12,0.133,0.102,0.145,0.084,25.47%
2021-10-11,0.106,0.095,0.128,0.085,45.21%
2021-10-08,0.073,0.058,0.086,0.037,87.18%
2021-10-07,0.039,0.055,0.059,0.021,-9.30%
2021-10-06,0.043,0.071,0.087,0.028,19.44%
2021-10-05,0.036,0.013,0.054,-0.002,300.00%
2021-10-04,0.009,-0.001,0.036,-0.005,-52.63%
2021-10-01,0.019,0.013,0.033,-0.011,-44.12%
2021-09-30,0.034,0.032,0.057,0.010,126.67%
2021-09-29,0.015,0.042,0.042,0.003,-53.13%
2021-09-28,0.032,0.028,0.058,0.020,"-1,700.00%"
2021-09-27,-0.002,-0.003,0.040,-0.023,-85.19%
2021-09-25,-0.014,-0.014,-0.014,-0.014,350.00%
2021-09-24,-0.003,-0.019,0.011,-0.028,-92.11%
2021-09-23,-0.038,-0.076,-0.021,-0.094,-63.11%
2021-09-22,-0.103,-0.091,-0.070,-0.108,9.57%
2021-09-21,-0.094,-0.089,-0.064,-0.118,11.90%
2021-09-20,-0.084,-0.068,-0.056,-0.112,20.86%
2021-09-19,-0.069,-0.069,-0.069,-0.069,0.72%
2021-09-18,-0.069,-0.069,-0.069,-0.069,16.95%
2021-09-17,-0.059,-0.074,-0.041,-0.079,-31.40%
2021-09-16,-0.086,-0.077,-0.053,-0.094,-2.27%
2021-09-15,-0.088,-0.119,-0.077,-0.132,-28.46%
2021-09-14,-0.123,-0.113,-0.078,-0.133,18.27%
2021-09-13,-0.104,-0.114,-0.098,-0.124,-12.24%
2021-09-12,-0.119,-0.119,-0.119,-0.119,5.80%
2021-09-10,-0.112,-0.142,-0.104,-0.148,-23.81%
2021-09-09,-0.147,-0.095,-0.080,-0.154,75.00%
2021-09-08,-0.084,-0.085,-0.075,-0.110,9.09%
2021-09-07,-0.077,-0.138,-0.073,-0.140,-40.77%
2021-09-06,-0.130,-0.133,-0.118,-0.147,-0.76%
2021-09-03,-0.131,-0.152,-0.117,-0.164,-12.08%
2021-09-02,-0.149,-0.144,-0.131,-0.166,7.97%
2021-09-01,-0.138,-0.149,-0.115,-0.156,-10.39%
2021-08-31,-0.154,-0.199,-0.136,-0.207,-24.88%
2021-08-30,-0.205,-0.176,-0.164,-0.206,8.47%
2021-08-27,-0.189,-0.173,-0.159,-0.189,10.53%
2021-08-26,-0.171,-0.186,-0.158,-0.197,-3.93%
2021-08-25,-0.178,-0.238,-0.170,-0.242,-25.52%
2021-08-24,-0.239,-0.230,-0.217,-0.257,0.00%
2021-08-23,-0.239,-0.250,-0.211,-0.261,-8.78%
2021-08-20,-0.262,-0.251,-0.239,-0.265,3.15%
2021-08-19,-0.254,-0.255,-0.229,-0.266,4.96%
2021-08-18,-0.242,-0.241,-0.227,-0.258,5.22%
2021-08-17,-0.230,-0.246,-0.220,-0.270,-0.86%
2021-08-16,-0.232,-0.245,-0.212,-0.261,-1.28%
2021-08-13,-0.235,-0.227,-0.201,-0.246,3.52%
2021-08-12,-0.227,-0.236,-0.211,-0.240,0.89%
2021-08-11,-0.225,-0.219,-0.196,-0.233,-0.44%
2021-08-10,-0.226,-0.231,-0.213,-0.256,0.44%
2021-08-09,-0.225,-0.235,-0.210,-0.251,-0.88%
2021-08-06,-0.227,-0.248,-0.207,-0.256,-8.84%
2021-08-05,-0.249,-0.258,-0.243,-0.281,-3.11%
2021-08-04,-0.257,-0.247,-0.231,-0.279,1.98%
2021-08-03,-0.252,-0.241,-0.220,-0.259,0.00%
2021-08-02,-0.252,-0.206,-0.192,-0.253,19.43%
2021-07-30,-0.211,-0.205,-0.185,-0.219,0.00%
2021-07-29,-0.211,-0.199,-0.170,-0.223,8.76%
2021-07-28,-0.194,-0.206,-0.185,-0.215,-5.37%
2021-07-27,-0.205,-0.189,-0.180,-0.212,8.47%
2021-07-26,-0.189,-0.199,-0.167,-0.226,-5.50%
