Date (Switzerland),Price,Open,High,Low,Change %
2019-08-06,-0.882,-0.872,-0.872,-0.891,2.08%
2019-08-05,-0.864,-0.850,-0.850,-0.892,2.61%
2019-08-02,-0.842,-0.791,-0.791,-0.854,12.72%
2019-07-31,-0.747,-0.728,-0.721,-0.780,12.16%
2019-07-30,-0.666,-0.639,-0.639,-0.734,-7.50%
2019-07-29,-0.720,-0.626,-0.626,-0.733,4.65%
2019-07-26,-0.688,-0.629,-0.629,-0.700,1.78%
2019-07-25,-0.676,-0.595,-0.595,-0.723,1.65%
2019-07-24,-0.665,-0.554,-0.554,-0.680,4.23%
2019-07-23,-0.638,-0.631,-0.618,-0.641,2.41%
2019-07-22,-0.623,-0.606,-0.606,-0.633,2.81%
2019-07-19,-0.606,-0.534,-0.534,-0.623,1.00%
2019-07-18,-0.600,-0.586,-0.586,-0.608,2.74%
2019-07-17,-0.584,-0.555,-0.546,-0.585,7.55%
2019-07-16,-0.543,-0.463,-0.463,-0.555,4.22%
2019-07-15,-0.521,-0.421,-0.421,-0.542,5.68%
2019-07-12,-0.493,-0.490,-0.478,-0.509,-1.00%
2019-07-11,-0.498,-0.559,-0.498,-0.564,-10.43%
2019-07-10,-0.556,-0.515,-0.515,-0.593,-7.64%
2019-07-09,-0.602,-0.632,-0.602,-0.640,-4.60%
2019-07-08,-0.631,-0.651,-0.627,-0.657,-0.79%
2019-07-05,-0.636,-0.556,-0.556,-0.668,-4.07%
2019-07-04,-0.663,-0.556,-0.556,-0.668,2.63%
2019-07-03,-0.646,-0.575,-0.575,-0.646,16.61%
2019-07-02,-0.554,-0.545,-0.545,-0.608,1.65%
2019-07-01,-0.545,-0.439,-0.439,-0.559,1.87%
2019-06-28,-0.535,-0.537,-0.532,-0.540,0.94%
2019-06-27,-0.530,-0.418,-0.418,-0.540,2.71%
2019-06-26,-0.516,-0.529,-0.511,-0.531,-2.46%
2019-06-25,-0.529,-0.511,-0.511,-0.535,3.52%
2019-06-24,-0.511,-0.499,-0.499,-0.520,5.14%
2019-06-21,-0.486,-0.518,-0.486,-0.518,-8.13%
2019-06-20,-0.529,-0.511,-0.511,-0.536,6.22%
2019-06-19,-0.498,-0.534,-0.490,-0.534,-6.92%
2019-06-18,-0.535,-0.468,-0.468,-0.539,14.07%
2019-06-17,-0.469,-0.398,-0.398,-0.482,-2.09%
2019-06-14,-0.479,-0.467,-0.467,-0.487,2.57%
2019-06-13,-0.467,-0.455,-0.455,-0.477,1.74%
2019-06-12,-0.459,-0.476,-0.451,-0.476,-2.96%
2019-06-11,-0.473,-0.473,-0.463,-0.481,-6.34%
2019-06-07,-0.505,-0.487,-0.487,-0.514,3.70%
2019-06-06,-0.487,-0.487,-0.468,-0.503,-1.02%
2019-06-05,-0.492,-0.475,-0.467,-0.494,4.68%
2019-06-04,-0.470,-0.489,-0.462,-0.498,-3.29%
2019-06-03,-0.486,-0.458,-0.458,-0.505,3.85%
2019-05-31,-0.468,-0.468,-0.468,-0.496,1.08%
2019-05-29,-0.463,-0.450,-0.450,-0.470,4.04%
2019-05-28,-0.445,-0.430,-0.430,-0.456,4.71%
2019-05-27,-0.425,-0.425,-0.422,-0.437,0.00%
2019-05-24,-0.425,-0.414,-0.414,-0.430,3.66%
2019-05-23,-0.410,-0.406,-0.397,-0.417,7.33%
2019-05-22,-0.382,-0.290,-0.290,-0.398,5.52%
2019-05-21,-0.362,-0.292,-0.292,-0.380,-4.49%
2019-05-20,-0.379,-0.384,-0.371,-0.399,-1.81%
2019-05-17,-0.386,-0.302,-0.302,-0.406,2.93%
2019-05-16,-0.375,-0.394,-0.374,-0.401,-3.35%
2019-05-15,-0.388,-0.366,-0.366,-0.412,4.86%
2019-05-14,-0.370,-0.353,-0.350,-0.376,3.64%
2019-05-13,-0.357,-0.261,-0.261,-0.364,4.39%
2019-05-10,-0.342,-0.317,-0.317,-0.352,-1.44%
2019-05-09,-0.347,-0.337,-0.337,-0.360,14.14%
2019-05-08,-0.304,-0.332,-0.304,-0.344,-11.37%
2019-05-07,-0.343,-0.227,-0.227,-0.356,11.73%
2019-05-06,-0.307,-0.242,-0.239,-0.324,5.86%
2019-05-03,-0.290,-0.285,-0.276,-0.309,1.40%
2019-05-02,-0.286,-0.224,-0.224,-0.309,-5.61%
2019-04-30,-0.303,-0.243,-0.243,-0.318,0.00%
2019-04-29,-0.303,-0.302,-0.301,-0.315,-5.02%
2019-04-26,-0.319,-0.314,-0.312,-0.338,1.59%
2019-04-25,-0.314,-0.326,-0.314,-0.330,-0.32%
2019-04-24,-0.315,-0.281,-0.281,-0.331,16.24%
2019-04-23,-0.271,-0.212,-0.209,-0.301,-6.23%
2019-04-18,-0.289,-0.238,-0.238,-0.299,21.43%
2019-04-17,-0.238,-0.160,-0.160,-0.248,-5.56%
2019-04-16,-0.252,-0.259,-0.252,-0.268,-1.18%
2019-04-15,-0.255,-0.170,-0.170,-0.272,-5.20%
2019-04-12,-0.269,-0.309,-0.269,-0.318,-12.94%
2019-04-11,-0.309,-0.311,-0.306,-0.315,-1.90%
2019-04-10,-0.315,-0.206,-0.206,-0.315,13.72%
2019-04-09,-0.277,-0.286,-0.277,-0.299,-3.48%
2019-04-08,-0.287,-0.292,-0.287,-0.295,-2.71%
2019-04-05,-0.295,-0.291,-0.283,-0.301,2.08%
2019-04-04,-0.289,-0.294,-0.289,-0.308,0.35%
2019-04-03,-0.288,-0.326,-0.280,-0.326,-16.28%
2019-04-02,-0.344,-0.343,-0.343,-0.358,1.78%
2019-04-01,-0.338,-0.355,-0.338,-0.365,-9.38%
2019-03-29,-0.373,-0.392,-0.368,-0.406,-8.13%
2019-03-28,-0.406,-0.419,-0.391,-0.422,-3.33%
2019-03-27,-0.420,-0.373,-0.373,-0.426,14.13%
2019-03-26,-0.368,-0.418,-0.368,-0.431,12.88%
2019-03-25,-0.326,-0.376,-0.326,-0.426,-23.47%
2019-03-22,-0.426,-0.370,-0.370,-0.445,15.14%
2019-03-21,-0.370,-0.331,-0.331,-0.388,10.45%
2019-03-20,-0.335,-0.307,-0.307,-0.335,22.26%
2019-03-19,-0.274,-0.329,-0.274,-0.332,-14.91%
2019-03-18,-0.322,-0.314,-0.314,-0.331,7.69%
2019-03-15,-0.299,-0.308,-0.299,-0.324,1.01%
2019-03-14,-0.296,-0.312,-0.296,-0.325,-3.90%
2019-03-13,-0.308,-0.333,-0.306,-0.333,-7.51%
2019-03-12,-0.333,-0.268,-0.265,-0.339,2.46%
2019-03-11,-0.325,-0.347,-0.325,-0.356,0.93%
2019-03-08,-0.322,-0.282,-0.282,-0.365,-4.17%
2019-03-07,-0.336,-0.280,-0.276,-0.336,36.03%
2019-03-06,-0.247,-0.263,-0.244,-0.298,10.76%
2019-03-05,-0.223,-0.247,-0.223,-0.261,-8.61%
2019-03-04,-0.244,-0.230,-0.230,-0.263,22.61%
2019-03-01,-0.199,-0.242,-0.199,-0.260,-17.77%
2019-02-28,-0.242,-0.281,-0.242,-0.287,-12.32%
2019-02-27,-0.276,-0.308,-0.276,-0.315,-6.76%
