Date (Germany),Price,Open,High,Low,Change %
2020-12-28,-0.5630,-0.5410,-0.5390,-0.5640,2.55%
2020-12-24,-0.5490,-0.5480,-0.5480,-0.5490,1.10%
2020-12-23,-0.5430,-0.5980,-0.5310,-0.6060,-8.12%
2020-12-22,-0.5910,-0.5860,-0.5670,-0.6000,1.72%
2020-12-21,-0.5810,-0.5990,-0.5760,-0.6200,1.57%
2020-12-18,-0.5720,-0.5810,-0.5450,-0.5830,-0.87%
2020-12-17,-0.5770,-0.5620,-0.5480,-0.5930,1.58%
2020-12-16,-0.5680,-0.6100,-0.5460,-0.6130,-6.89%
2020-12-15,-0.6100,-0.6180,-0.6020,-0.6300,-1.29%
2020-12-14,-0.6180,-0.6160,-0.5990,-0.6350,-3.13%
2020-12-11,-0.6380,-0.6060,-0.6010,-0.6430,5.98%
2020-12-10,-0.6020,-0.6130,-0.5790,-0.6310,-0.50%
2020-12-09,-0.6050,-0.5940,-0.5840,-0.6100,-1.31%
2020-12-08,-0.6130,-0.5800,-0.5760,-0.6170,4.79%
2020-12-07,-0.5850,-0.5560,-0.5470,-0.5870,7.73%
2020-12-04,-0.5430,-0.5570,-0.5350,-0.5660,-0.91%
2020-12-03,-0.5480,-0.5280,-0.5170,-0.5520,5.18%
2020-12-02,-0.5210,-0.5180,-0.5050,-0.5320,-0.57%
2020-12-01,-0.5240,-0.5720,-0.5160,-0.5820,-8.23%
2020-11-30,-0.5710,-0.5860,-0.5620,-0.6000,-2.39%
2020-11-27,-0.5850,-0.5880,-0.5730,-0.5950,-0.34%
2020-11-26,-0.5870,-0.5660,-0.5560,-0.5890,2.62%
2020-11-25,-0.5720,-0.5610,-0.5460,-0.5810,1.24%
2020-11-24,-0.5650,-0.5620,-0.5580,-0.5810,-2.25%
2020-11-23,-0.5780,-0.5900,-0.5620,-0.5920,-1.03%
2020-11-21,-0.5840,-0.5840,-0.5840,-0.5840,0.17%
2020-11-20,-0.5830,-0.5720,-0.5620,-0.5880,2.46%
2020-11-19,-0.5690,-0.5600,-0.5510,-0.5760,2.71%
2020-11-18,-0.5540,-0.5770,-0.5440,-0.5790,-1.25%
2020-11-17,-0.5610,-0.5440,-0.5350,-0.5660,2.94%
2020-11-16,-0.5450,-0.5540,-0.5090,-0.5690,-0.55%
2020-11-13,-0.5480,-0.5460,-0.5300,-0.5620,2.43%
2020-11-12,-0.5350,-0.5220,-0.4970,-0.5350,6.36%
2020-11-11,-0.5030,-0.4830,-0.4560,-0.5140,4.79%
2020-11-10,-0.4800,-0.5160,-0.4730,-0.5190,-5.51%
2020-11-09,-0.5080,-0.6190,-0.4960,-0.6440,-17.67%
2020-11-06,-0.6170,-0.6370,-0.6010,-0.6470,-2.68%
2020-11-05,-0.6340,-0.6460,-0.6170,-0.6580,-0.63%
2020-11-04,-0.6380,-0.6450,-0.6150,-0.6710,2.74%
2020-11-03,-0.6210,-0.6320,-0.6010,-0.6380,-2.66%
2020-11-02,-0.6380,-0.6260,-0.6070,-0.6390,2.08%
2020-10-30,-0.6250,-0.6390,-0.6060,-0.6390,-1.88%
2020-10-29,-0.6370,-0.6110,-0.6110,-0.6460,1.43%
2020-10-28,-0.6280,-0.6210,-0.6100,-0.6460,2.61%
2020-10-27,-0.6120,-0.5760,-0.5660,-0.6150,7.18%
2020-10-26,-0.5710,-0.5880,-0.5520,-0.5970,-0.17%
2020-10-23,-0.5720,-0.5710,-0.5450,-0.5840,0.70%
2020-10-22,-0.5680,-0.5860,-0.5560,-0.5980,-3.40%
2020-10-21,-0.5880,-0.5780,-0.5680,-0.6060,-2.49%
2020-10-20,-0.6030,-0.6270,-0.5900,-0.6330,-3.83%
2020-10-19,-0.6270,-0.6200,-0.6000,-0.6280,0.64%
2020-10-16,-0.6230,-0.6130,-0.6040,-0.6370,1.96%
2020-10-15,-0.6110,-0.5840,-0.5720,-0.6370,6.26%
2020-10-14,-0.5750,-0.5590,-0.5520,-0.5860,3.79%
2020-10-13,-0.5540,-0.5440,-0.5340,-0.5610,2.03%
2020-10-12,-0.5430,-0.5380,-0.5270,-0.5460,2.07%
2020-10-09,-0.5320,-0.5260,-0.5230,-0.5470,2.11%
2020-10-08,-0.5210,-0.4960,-0.4860,-0.5250,5.68%
2020-10-07,-0.4930,-0.5170,-0.4790,-0.5280,-2.76%
2020-10-06,-0.5070,-0.5070,-0.4920,-0.5190,-0.98%
2020-10-05,-0.5120,-0.5370,-0.5010,-0.5490,-4.66%
2020-10-03,-0.5370,-0.5370,-0.5370,-0.5370,0.56%
2020-10-02,-0.5340,-0.5420,-0.5240,-0.5550,1.14%
2020-10-01,-0.5280,-0.5120,-0.4970,-0.5370,1.34%
2020-09-30,-0.5210,-0.5450,-0.5140,-0.5520,-3.87%
2020-09-29,-0.5420,-0.5250,-0.5240,-0.5460,3.04%
2020-09-28,-0.5260,-0.5230,-0.5010,-0.5300,0.19%
2020-09-25,-0.5250,-0.4990,-0.4930,-0.5310,3.75%
2020-09-24,-0.5060,-0.5110,-0.4990,-0.5300,0.80%
2020-09-23,-0.5020,-0.5110,-0.4910,-0.5250,0.00%
2020-09-22,-0.5020,-0.5200,-0.4950,-0.5310,-4.74%
2020-09-21,-0.5270,-0.4890,-0.4750,-0.5390,8.21%
2020-09-19,-0.4870,-0.4870,-0.4870,-0.4870,0.83%
2020-09-18,-0.4830,-0.4850,-0.4730,-0.5110,-1.83%
2020-09-17,-0.4920,-0.4850,-0.4610,-0.5120,2.29%
2020-09-16,-0.4810,-0.4790,-0.4720,-0.5010,0.00%
2020-09-15,-0.4810,-0.4850,-0.4620,-0.4910,0.84%
2020-09-14,-0.4770,-0.4840,-0.4730,-0.5020,-1.24%
2020-09-11,-0.4830,-0.4550,-0.4470,-0.4840,13.38%
2020-09-10,-0.4260,-0.4560,-0.4170,-0.4770,-7.59%
2020-09-09,-0.4610,-0.4920,-0.4510,-0.5080,-6.68%
2020-09-08,-0.4940,-0.4650,-0.4500,-0.5060,7.39%
2020-09-07,-0.4600,-0.4390,-0.4360,-0.4820,-3.77%
2020-09-04,-0.4780,-0.4790,-0.4610,-0.4950,-2.45%
2020-09-03,-0.4900,-0.4780,-0.4540,-0.5020,3.59%
2020-09-02,-0.4730,-0.4300,-0.4240,-0.4760,13.98%
2020-09-01,-0.4150,-0.3950,-0.3720,-0.4190,4.27%
2020-08-31,-0.3980,-0.4120,-0.3750,-0.4150,-2.21%
2020-08-28,-0.4070,-0.3860,-0.3720,-0.4170,0.99%
2020-08-27,-0.4030,-0.4160,-0.3840,-0.4710,-1.95%
2020-08-26,-0.4110,-0.4250,-0.3940,-0.4270,-3.52%
2020-08-25,-0.4260,-0.4900,-0.4120,-0.4910,-13.77%
2020-08-24,-0.4940,-0.5110,-0.4760,-0.5130,-2.76%
2020-08-21,-0.5080,-0.4910,-0.4840,-0.5230,2.63%
2020-08-20,-0.4950,-0.4710,-0.4620,-0.5120,4.21%
2020-08-19,-0.4750,-0.4580,-0.4580,-0.4930,4.17%
2020-08-18,-0.4560,-0.4500,-0.4370,-0.4700,0.66%
2020-08-17,-0.4530,-0.4180,-0.4120,-0.4550,8.11%
2020-08-14,-0.4190,-0.3970,-0.3920,-0.4260,2.20%
2020-08-13,-0.4100,-0.4570,-0.3960,-0.4690,-8.69%
2020-08-12,-0.4490,-0.4800,-0.4280,-0.4810,-4.87%
2020-08-11,-0.4720,-0.5160,-0.4630,-0.5270,-10.10%
2020-08-10,-0.5250,-0.5000,-0.4860,-0.5350,3.96%
2020-08-07,-0.5050,-0.5330,-0.5030,-0.5430,-6.31%
2020-08-06,-0.5390,-0.5120,-0.4910,-0.5500,6.52%
2020-08-05,-0.5060,-0.5490,-0.4960,-0.5580,-8.00%
2020-08-04,-0.5500,-0.5250,-0.5100,-0.5600,5.16%
2020-08-03,-0.5230,-0.5220,-0.5000,-0.5330,-1.51%
2020-07-31,-0.5310,-0.5600,-0.5160,-0.5610,-2.57%
2020-07-30,-0.5450,-0.5050,-0.5000,-0.5530,9.22%
2020-07-29,-0.4990,-0.5150,-0.4880,-0.5210,-2.16%
2020-07-28,-0.5100,-0.4760,-0.4700,-0.5170,3.66%
2020-07-27,-0.4920,-0.4490,-0.4320,-0.4930,10.56%
2020-07-24,-0.4450,-0.4900,-0.4320,-0.4990,-7.68%
2020-07-23,-0.4820,-0.4870,-0.4700,-0.4940,-2.23%
2020-07-22,-0.4930,-0.4580,-0.4450,-0.4980,6.71%
2020-07-21,-0.4620,-0.4440,-0.4380,-0.4670,-0.22%
2020-07-20,-0.4630,-0.4440,-0.4180,-0.4720,2.32%
2020-07-19,-0.4525,-0.4525,-0.4525,-0.4525,-0.55%
2020-07-17,-0.4550,-0.4670,-0.4470,-0.4800,-2.99%
2020-07-16,-0.4690,-0.4430,-0.4340,-0.4810,5.87%
2020-07-15,-0.4430,-0.4400,-0.4230,-0.4630,-0.89%
2020-07-14,-0.4470,-0.4190,-0.4120,-0.4490,7.45%
2020-07-13,-0.4160,-0.4540,-0.4000,-0.4650,-11.11%
2020-07-10,-0.4680,-0.4710,-0.4640,-0.4920,1.96%
2020-07-09,-0.4590,-0.4390,-0.4270,-0.4720,4.56%
2020-07-08,-0.4390,-0.4330,-0.4220,-0.4570,2.33%
2020-07-07,-0.4290,-0.4300,-0.4110,-0.4570,-0.69%
2020-07-06,-0.4320,-0.4260,-0.4090,-0.4430,0.00%
2020-07-03,-0.4320,-0.4330,-0.4220,-0.4480,0.70%
2020-07-02,-0.4290,-0.3900,-0.3820,-0.4360,8.06%
2020-07-01,-0.3970,-0.4550,-0.3840,-0.4550,-12.36%
2020-06-30,-0.4530,-0.4710,-0.4520,-0.4880,-3.62%
2020-06-29,-0.4700,-0.4740,-0.4560,-0.4770,-2.49%
2020-06-27,-0.4820,-0.4830,-0.4820,-0.4830,0.21%
2020-06-26,-0.4810,-0.4620,-0.4600,-0.4840,3.44%
2020-06-25,-0.4650,-0.4400,-0.4400,-0.4800,5.92%
2020-06-24,-0.4390,-0.4080,-0.3830,-0.4440,8.40%
2020-06-23,-0.4050,-0.4340,-0.3990,-0.4390,-7.11%
2020-06-22,-0.4360,-0.4140,-0.4080,-0.4590,5.06%
2020-06-19,-0.4150,-0.4110,-0.3900,-0.4200,-6.11%
