Date (Sweden),Price,Open,High,Low,Change %
2020-10-19,-0.080,-0.090,-0.075,-0.090,-18.37%
2020-10-16,-0.098,-0.105,-0.095,-0.110,-7.55%
2020-10-15,-0.106,-0.091,-0.087,-0.114,34.18%
2020-10-14,-0.079,-0.061,-0.058,-0.086,43.64%
2020-10-13,-0.055,-0.023,-0.023,-0.055,129.17%
2020-10-12,-0.024,-0.009,-0.009,-0.024,166.67%
2020-10-09,-0.009,-0.004,-0.002,-0.014,-550.00%
2020-10-08,0.002,0.017,0.017,0.001,-87.88%
2020-10-07,0.016,0.009,0.023,0.006,-21.43%
2020-10-06,0.021,0.001,0.021,0.001,"-2,200.00%"
2020-10-05,-0.001,-0.021,-0.001,-0.028,-96.30%
2020-10-02,-0.027,-0.034,-0.021,-0.054,-12.90%
2020-10-01,-0.031,-0.029,-0.024,-0.035,-20.51%
2020-09-30,-0.039,-0.049,-0.039,-0.055,-70.45%
2020-09-29,-0.132,-0.134,-0.128,-0.145,-2.22%
2020-09-28,-0.135,-0.125,-0.119,-0.137,8.00%
2020-09-26,-0.125,-0.125,-0.125,-0.125,0.00%
2020-09-25,-0.125,-0.105,-0.104,-0.127,12.61%
2020-09-24,-0.111,-0.108,-0.103,-0.125,-1.77%
2020-09-23,-0.113,-0.106,-0.100,-0.116,6.60%
2020-09-22,-0.106,-0.121,-0.102,-0.127,-15.87%
2020-09-21,-0.126,-0.096,-0.087,-0.128,29.90%
2020-09-19,-0.097,-0.097,-0.097,-0.097,0.00%
2020-09-18,-0.097,-0.095,-0.095,-0.112,-7.62%
2020-09-17,-0.105,-0.108,-0.089,-0.120,0.96%
2020-09-16,-0.104,-0.099,-0.094,-0.110,4.00%
2020-09-15,-0.100,-0.105,-0.090,-0.107,-0.99%
2020-09-14,-0.101,-0.097,-0.093,-0.114,16.09%
2020-09-13,-0.087,-0.087,-0.087,-0.087,0.00%
2020-09-11,-0.087,-0.061,-0.060,-0.091,51.30%
2020-09-10,-0.058,-0.072,-0.054,-0.098,-29.45%
2020-09-09,-0.082,-0.095,-0.077,-0.101,-11.89%
2020-09-08,-0.093,-0.053,-0.047,-0.097,74.53%
2020-09-07,-0.053,-0.035,-0.027,-0.057,8.16%
2020-09-04,-0.049,-0.070,-0.049,-0.086,-27.94%
2020-09-03,-0.068,-0.065,-0.056,-0.078,27.10%
2020-09-02,-0.054,-0.004,-0.004,-0.058,-405.71%
2020-09-01,0.018,0.029,0.031,0.009,-40.68%
2020-08-31,0.030,0.012,0.046,0.004,126.92%
2020-08-29,0.013,0.013,0.013,0.013,0.00%
2020-08-28,0.013,0.020,0.032,0.008,-336.36%
2020-08-27,-0.005,-0.018,-0.005,-0.052,22.22%
2020-08-26,-0.004,-0.005,0.015,-0.016,-71.88%
2020-08-25,-0.016,-0.050,-0.012,-0.060,-77.78%
2020-08-24,-0.072,-0.075,-0.062,-0.075,0.00%
2020-08-22,-0.072,-0.072,-0.072,-0.072,-2.04%
2020-08-21,-0.073,-0.070,-0.065,-0.096,8.09%
2020-08-20,-0.068,-0.054,-0.038,-0.072,36.00%
2020-08-19,-0.050,-0.040,-0.033,-0.073,78.57%
2020-08-18,-0.028,-0.036,-0.023,-0.053,12.00%
2020-08-17,-0.025,-0.016,-0.012,-0.030,66.67%
2020-08-16,-0.015,-0.015,-0.015,-0.015,0.00%
2020-08-15,-0.015,-0.015,-0.015,-0.015,-14.29%
2020-08-14,-0.018,-0.011,-0.004,-0.026,45.83%
2020-08-13,-0.012,-0.037,-0.005,-0.049,-70.37%
2020-08-12,-0.041,-0.050,-0.025,-0.056,-40.88%
2020-08-11,-0.068,-0.107,-0.064,-0.111,-37.16%
2020-08-10,-0.109,-0.110,-0.094,-0.114,1.87%
2020-08-07,-0.107,-0.090,-0.090,-0.121,-0.93%
2020-08-06,-0.108,-0.075,-0.074,-0.112,32.52%
2020-08-05,-0.082,-0.111,-0.079,-0.115,-31.51%
2020-08-04,-0.119,-0.091,-0.085,-0.120,30.77%
2020-08-03,-0.091,-0.089,-0.074,-0.097,1.11%
2020-08-01,-0.090,-0.090,-0.090,-0.090,2.86%
2020-07-31,-0.087,-0.115,-0.086,-0.129,-24.57%
