Date (Germany),Price,Open,High,Low,Change %,positive,negative,neutral,avg_positive,avg_negative,avg_neutral
2018-04-26,0.5950,0.6330,0.6360,0.5850,-6.00%,1.3415035977959633,8.2463888078928,0.4121076846495271,0.13415035977959633,0.8246388807892799,0.04121076846495271
2018-04-27,0.5700,0.5920,0.5920,0.5640,-4.20%,1.0808613682165742,6.775403913110495,0.14373487513512373,0.13510767102707177,0.8469254891388118,0.017966859391890466
2018-04-30,0.5620,0.5780,0.5930,0.5570,-1.40%,8.358274047728628,8.499744487926364,1.1419815309345722,0.464348558207146,0.4722080271070202,0.06344341838525401
2018-05-02,0.5820,0.5710,0.5900,0.5680,3.56%,0.019125524908304214,0.9682372212409973,0.012637156993150711,0.019125524908304214,0.9682372212409973,0.012637156993150711
2018-05-03,0.5340,0.5780,0.5920,0.5250,-8.25%,4.9909836472943425,3.8230201229453087,1.1859959037974477,0.49909836472943425,0.38230201229453087,0.11859959037974477
2018-05-04,0.5450,0.5380,0.5470,0.5220,2.06%,2.736165721900761,8.933785535395145,2.3300488917157054,0.19544040870719723,0.6381275382425103,0.16643206369397895
2018-05-07,0.5300,0.5440,0.5440,0.5180,-2.75%,6.870362697169185,2.922705326229334,1.206932257860899,0.6245784270153805,0.26570048420266673,0.10972111435099081
2018-05-08,0.5610,0.5320,0.5650,0.5280,5.85%,5.362686368636787,8.017167794518173,0.6201457539573312,0.3830490263311991,0.5726548424655837,0.044296125282666514
2018-05-09,0.5600,0.5670,0.5860,0.5580,-0.18%,5.170491935685277,6.804605044424534,1.0249031074345112,0.3977301488988675,0.5234311572634257,0.07883870057188548
2018-05-10,0.5580,0.5570,0.5650,0.5330,-0.36%,6.817688187584281,6.632938247174025,2.5493735605850816,0.42610551172401756,0.41455864044837654,0.1593358475365676
2018-05-11,0.5590,0.5560,0.5690,0.5410,0.18%,6.274872658774257,3.5119498129934072,0.21317735500633717,0.6274872658774256,0.35119498129934074,0.021317735500633716
2018-05-14,0.6120,0.5570,0.6190,0.5510,9.48%,7.978652151301503,7.016172241419554,3.0051754536107183,0.44325845285008353,0.3897873467455308,0.16695419186726213
2018-05-15,0.6470,0.6170,0.6500,0.6130,5.72%,9.42651425441727,14.733718320727348,0.8397677335888147,0.3770605701766908,0.589348732829094,0.03359070934355259
2018-05-16,0.6060,0.6350,0.6390,0.5890,-6.34%,6.618376395665109,5.076076230034232,1.3055473770946264,0.5091058765896238,0.39046740231032556,0.10042672131497127
2018-05-17,0.6370,0.6360,0.6470,0.5980,5.12%,3.7873616172000766,6.265896800905466,1.9467419236898422,0.3156134681000064,0.5221580667421222,0.16222849364082018
2018-05-18,0.5760,0.6370,0.6390,0.5730,-9.58%,2.235920554958284,3.2911100797355175,0.4729693066328764,0.37265342582638067,0.5485183466225863,0.07882821777214606
2018-05-21,0.5210,0.5810,0.5810,0.5180,-8.60%,1.4238198669627309,3.3634745497256517,0.21270558424293995,0.28476397339254617,0.6726949099451304,0.04254111684858799
2018-05-22,0.5600,0.5230,0.5730,0.5230,7.49%,1.9611892253160477,3.4238560125231743,0.6149548515677452,0.32686487088600796,0.5706426687538624,0.10249247526129086
2018-05-23,0.5060,0.5470,0.5510,0.4960,-9.64%,4.552539742551744,4.592740936204791,2.8547192132100463,0.379378311879312,0.38272841135039926,0.23789326776750386
2018-05-24,0.4700,0.5100,0.5330,0.4610,-7.11%,8.743827887810767,11.963093618862331,3.2930781934410334,0.36432616199211526,0.49846223411926377,0.13721159139337638
2018-05-25,0.4060,0.4740,0.4790,0.3860,-13.62%,5.681699346750975,5.8436409663408995,1.474659944884479,0.4370537959039211,0.44951084356468457,0.11343538037572916
2018-05-28,0.3450,0.4400,0.4610,0.3390,-15.02%,1.2731832414865494,1.7561456765979528,2.9706710539758205,0.2121972069144249,0.2926909460996588,0.49511184232930344
2018-05-29,0.2570,0.3430,0.3430,0.1920,-25.51%,0.13024818152189255,6.561441779136658,0.3083097841590643,0.018606883074556078,0.9373488255909511,0.04404425487986633
2018-05-30,0.3700,0.2900,0.3730,0.2820,43.97%,16.553383165504783,8.433243464212865,2.013373149558902,0.613088265389066,0.3123423505264024,0.07456937590958895
2018-05-31,0.3400,0.3570,0.4120,0.3220,-8.11%,12.715495087206364,2.0068563669919968,1.2776487721130252,0.7947184429503977,0.1254285229369998,0.07985304825706407
