Date,Price,Open,High,Low,Change %,Change_num,positive,negative,neutral,avg_positive,avg_negative,avg_neutral,custom_est
2020-08-06,0.642,0.64,0.646,0.637,0.00%,0.0,14.251990941353142,16.599031288176775,2.148977666161953,0.4318785133743376,0.5030009481265689,0.065120535338241,-0.0711224349770388
2020-08-09,0.655,0.652,0.656,0.646,2.02%,0.013,0.9314761050045488,1.0299146287143228,0.0386093351989983,0.4657380525022744,0.5149573143571614,0.0193046675994991,-0.0492192601588436
2020-08-10,0.64,0.657,0.658,0.638,-2.37%,-0.015,9.087276803329589,16.473014684394002,1.4397083381190887,0.3365658075307254,0.6101116549775556,0.0533225310414477,-0.273545849211275
2020-08-11,0.65,0.636,0.66,0.636,1.56%,0.01,6.419289189390838,14.021513005718589,0.559197770431637,0.3056804375900399,0.667691095510409,0.0266284652586493,-0.3620106585143929
2020-08-12,0.656,0.655,0.678,0.643,1.08%,0.006,7.016060597263277,5.770614372566342,2.2133250785991545,0.4677373731508851,0.3847076248377561,0.1475550052399436,0.0830297480450603
2020-08-13,0.642,0.643,0.66,0.637,-2.21%,-0.014,9.121754045132548,13.315025153569875,2.5632209880277514,0.3648701618053019,0.532601006142795,0.10252883952111,-0.1677308430846767
2020-08-16,0.644,0.65,0.65,0.64,0.31%,0.002,2.855332931503653,2.115511152893305,1.02915577404201,0.4758888219172755,0.3525851921488841,0.171525962340335,0.1233036326775562
2020-08-17,0.654,0.639,0.66,0.639,1.48%,0.01,8.083914790302515,11.446981720626354,2.469103522598743,0.3674506722864779,0.5203173509375616,0.1122319782999428,-0.1528666784181174
2020-08-18,0.661,0.655,0.661,0.654,1.15%,0.007,2.3965710857883096,4.471212483942509,0.1322163389995692,0.3423672979697585,0.6387446405632156,0.0188880484285098,-0.2963773464577778
2020-08-19,0.657,0.656,0.66,0.65,-0.61%,-0.004,4.627510532736777,8.496323947794735,0.8761655613780014,0.3305364666240555,0.6068802819853383,0.0625832543841429,-0.2763438145340373
2020-08-20,0.66,0.657,0.669,0.655,0.46%,0.003,10.815275460015982,14.579283589497209,5.60544097609818,0.3488798535489026,0.4702994706289422,0.1808206766483283,-0.1214196169797259
2020-08-23,0.655,0.666,0.668,0.652,-0.83%,-0.005,1.827980875968933,0.0639573559165,0.1080617196857928,0.9139904379844666,0.03197867795825,0.0540308598428964,0.8820117813835912
2020-08-24,0.645,0.652,0.653,0.644,-1.53%,-0.01,1.7931003319099543,2.9267327142879367,0.2801668932661411,0.3586200663819909,0.5853465428575874,0.0560333786532282,-0.2267264792206177
2020-08-25,0.669,0.64,0.67,0.64,3.80%,0.024,10.48689164314419,7.874744758009911,0.6383632458746424,0.5519416654286416,0.4144602504215742,0.0335980655723496,0.1374814175611194
2020-08-26,0.687,0.669,0.689,0.669,2.62%,0.018,1.841772440820932,5.013073951005936,0.1451535094529387,0.2631103486887046,0.7161534215722766,0.0207362156361341,-0.4530430792727862
2020-08-27,0.669,0.705,0.705,0.646,-2.55%,-0.018,6.801162010058761,9.09764625132084,1.1011918792501088,0.4000683535328683,0.5351556618424023,0.0647759928970652,-0.1350873071920464
2020-08-30,0.67,0.669,0.678,0.659,0.15%,0.001,2.722052313387394,3.1412217020988464,0.1367259258404372,0.4536753855645656,0.5235369503498077,0.0227876543067395,-0.0698615654684104
2020-08-31,0.654,0.646,0.667,0.646,-2.46%,-0.016,4.495567628648132,16.788762647658587,1.7156697595492,0.1954594621151361,0.7299462020721125,0.0745943373717043,-0.5344867391237366
2020-09-01,0.659,0.646,0.668,0.646,0.84%,0.005,10.005005578510463,12.366152722388506,0.6288415985181917,0.4350002425439331,0.5376588140168915,0.0273409390660083,-0.1026585719219014
2020-09-02,0.668,0.654,0.67,0.653,1.29%,0.009,3.880100418347865,9.861673410981894,0.2582263294607393,0.2771500298819903,0.7044052436415639,0.0184447378186242,-0.4272552089135686
2020-09-03,0.674,0.67,0.688,0.664,0.97%,0.006,3.341836038976908,11.335157481953502,2.323006396181881,0.1965785905280534,0.6667739695266766,0.1366474350695224,-0.4701953812911771
2020-09-06,0.704,0.693,0.706,0.688,4.45%,0.0299999999999999,2.121018500998616,1.9999788030982015,1.87900273874402,0.3535030834997694,0.3333298005163669,0.3131671231240033,0.0201732828393623
2020-09-07,0.716,0.714,0.726,0.692,1.70%,0.012,9.354007771238685,9.912787036970258,0.733204799704253,0.4677003885619342,0.4956393518485129,0.0366602399852126,-0.0279389638343036
2020-09-08,0.693,0.716,0.719,0.692,-3.14%,-0.023,3.2110975636169314,11.402562227100134,0.3863401869311922,0.2140731709077954,0.760170815140009,0.0257560124620794,-0.5460976450459624
2020-09-09,0.699,0.694,0.703,0.678,0.79%,0.006,6.814725149422884,8.56606450676918,2.619210477918386,0.3785958416346047,0.4758924725982878,0.1455116932176881,-0.0972966302387667
2020-09-10,0.725,0.706,0.733,0.697,3.65%,0.026,5.43076336523518,9.175057803280652,2.3941788971424103,0.3194566685432458,0.5397092825459207,0.1408340527730829,-0.2202526131520042
2020-09-13,0.734,0.744,0.753,0.734,1.38%,0.009,2.268586616031825,1.6374370213598013,0.0939763560891149,0.5671466540079564,0.4093592553399503,0.0234940890222787,0.1577873989251702
2020-09-14,0.745,0.73,0.76,0.73,1.43%,0.011,5.585861882194877,5.114989766851068,0.299148266203701,0.5078056256540797,0.4649990697137334,0.0271952969276091,0.0428065562701527
2020-09-15,0.727,0.735,0.751,0.725,-2.42%,-0.018,10.446360203437507,13.610438773408532,0.943200793117283,0.4178544081375003,0.5444175509363413,0.0377280317246913,-0.1265631439634076
2020-09-16,0.703,0.732,0.732,0.693,-3.30%,-0.024,10.117386827711016,10.03716544713825,2.845448043197393,0.4398863838135224,0.436398497701663,0.1237151323129301,0.0034878860636285
2020-09-17,0.674,0.709,0.709,0.673,-4.05%,-0.0289999999999999,3.106845177710056,9.343116857111454,2.550037872977555,0.207123011847337,0.6228744571407636,0.1700025248651703,-0.4157514478489379
2020-09-21,0.641,0.666,0.692,0.64,-4.89%,-0.033,2.513803899288177,0.3007157566025853,0.1854803357273339,0.8379346330960592,0.1002385855341951,0.0618267785757779,0.737696049622963
2020-09-22,0.655,0.64,0.663,0.615,2.03%,0.014,5.841325235553086,8.243308950215578,0.9153659045696252,0.3894216823702057,0.5495539300143719,0.061024393637975,-0.1601322466797612
2020-09-23,0.687,0.654,0.689,0.652,4.89%,0.032,7.437899208627641,13.15959258005023,3.402507994323969,0.3099124670261517,0.548316357502093,0.1417711664301653,-0.2384038926314914
2020-09-24,0.701,0.694,0.713,0.688,2.11%,0.0139999999999999,6.324440438300371,7.1673862263560295,3.508173456415534,0.3720259081353159,0.4216109544915311,0.2063631444950314,-0.0495850460030765
2020-09-29,0.7,0.708,0.715,0.694,-0.14%,-0.001,9.765768133103848,3.652762847021222,0.5814689239487046,0.6975548666502748,0.2609116319300873,0.0415334945677646,0.4366432377120116
2020-09-30,0.707,0.719,0.719,0.686,1.00%,0.007,12.947538547217846,18.84303082898259,1.2094309199601396,0.3923496529459953,0.5710009342115937,0.0366494218169739,-0.1786512796622812
2020-10-01,0.726,0.708,0.73,0.696,2.69%,0.019,5.1748545174486935,9.828533129766583,0.9966123104095452,0.3234284073405433,0.6142833206104115,0.0622882694005965,-0.2908549140401824
2020-10-04,0.73,0.729,0.734,0.719,0.62%,0.004,0.9699420006945728,1.9597826600074768,0.0702755097299813,0.3233140002315243,0.6532608866691589,0.0234251699099937,-0.3299468676931297
2020-10-05,0.752,0.74,0.754,0.725,2.94%,0.022,3.79421665519476,5.014056004583836,0.1917270682752128,0.4215796283549732,0.5571173338426484,0.0213030075861347,-0.1355377095831156
2020-10-06,0.775,0.76,0.783,0.752,2.99%,0.023,2.8118024249561127,6.862690724432468,0.3255065772682424,0.2811802424956112,0.6862690724432469,0.0325506577268242,-0.4050888410204625
2020-10-07,0.786,0.775,0.786,0.77,1.55%,0.011,3.5667075337842107,5.147695146501064,0.285597218200564,0.3963008370871345,0.5719661273890071,0.0317330242445071,-0.1756652922832631
2020-10-08,0.771,0.795,0.795,0.761,-1.91%,-0.015,5.905433348380029,9.669907201081514,0.4246590789407484,0.3690895842737518,0.6043692000675946,0.0265411924337967,-0.2352796212581783
2020-10-11,0.772,0.767,0.775,0.767,0.13%,0.001,2.2239029044285417,1.649406911805272,1.1266900999471543,0.4447805808857083,0.3298813823610544,0.2253380199894308,0.1148992004508018
2020-10-12,0.784,0.776,0.797,0.775,1.49%,0.012,11.45255387853831,6.054871080443262,1.4925749460235234,0.6027659936072794,0.3186774252864874,0.0785565761065012,0.2840885697411586
2020-10-13,0.748,0.782,0.782,0.747,-4.53%,-0.036,12.45701513485983,10.665511516854169,0.877472955733536,0.5190422972858263,0.444396313202257,0.036561373155564,0.0746459853045053
2020-10-14,0.74,0.748,0.748,0.713,-1.14%,-0.008,5.505838257260621,4.174383029341698,1.319778998382389,0.5005307506600564,0.3794893663037907,0.1199799089438535,0.1210413812203618
2020-10-15,0.738,0.743,0.746,0.728,-0.27%,-0.002,4.4955935170874,3.0479351673275232,1.4564710753038526,0.4995103907874889,0.3386594630363915,0.1618301194782058,0.1608509320454817
2020-10-19,0.739,0.726,0.743,0.726,0.14%,0.001,10.263976623304188,7.462894693017006,2.2731285262852903,0.5131988311652094,0.3731447346508503,0.1136564263142645,0.1400540976165394
2020-10-20,0.739,0.738,0.742,0.73,0.00%,0.0,6.655294259078801,2.21498784981668,1.1297180000692604,0.6655294259078801,0.221498784981668,0.112971800006926,0.4440306360878437
2020-10-21,0.75,0.741,0.75,0.734,1.42%,0.011,7.035375904291868,4.931434942409396,1.0331893172115083,0.5411827618686053,0.3793411494161074,0.0794761013239621,0.1618416104118896
2020-10-22,0.76,0.742,0.768,0.707,1.33%,0.01,2.7275708885863423,8.171620033681393,1.100809055380523,0.2272975740488618,0.6809683361401161,0.0917340879483769,-0.4536707629362818
2020-10-26,0.757,0.756,0.769,0.744,0.13%,0.001,3.658310660161078,10.629880398511888,2.711809095926583,0.2151947447153575,0.6252870822654051,0.1595181821133284,-0.4100923338206305
2020-10-27,0.765,0.758,0.765,0.75,1.12%,0.008,4.139487045817077,4.552618185058236,0.3078949972987171,0.4599430050907863,0.5058464650064707,0.034210555255413,-0.045903458751909
2020-10-28,0.769,0.766,0.773,0.751,0.52%,0.004,3.728685067035258,14.74169030599296,2.529624674469232,0.1775564317635836,0.7019852526663315,0.1204583178318682,-0.5244288197166034
2020-10-29,0.811,0.778,0.814,0.775,5.40%,0.042,7.652217457070947,10.998532785102723,4.349249447695911,0.3327051068291716,0.4781970776131619,0.1890978020737352,-0.1454919727457941
